norad,name,status,i_mean_deg,n_tle,n_crossings,resonance_jd,resonance_date,decay_jd,decay_date,days_resonance_to_decay,days_resonance_to_last_tle,frac_record_pre_resonance
27967,SL-12 DEB,NOT_RESONANT,65.723,237,0,,,,,,,
28001,SL-12 DEB,NOT_RESONANT,65.211,4,0,,,,,,,
28014,SL-12 DEB,TOO_FEW_TLES,,1,,,,,,,,
28015,SL-12 DEB,TOO_FEW_TLES,,2,,,,,,,,
28037,SL-12 DEB,TOO_FEW_TLES,,2,,,,,,,,
28219,ATLAS 2AS CENTAUR R/B,NO_TLE_FILE,,,,,,,,,,
28260,SL-12 DEB,NOT_RESONANT,65.199,444,0,,,,,,,
28680,SL-12 DEB,NOT_RESONANT,63.705,44,0,,,,,,,
28681,SL-12 DEB,NOT_RESONANT,67.183,3,0,,,,,,,
28927,STARDUST SRC,NO_TLE_FILE,,,,,,,,,,
29025,SL-12 DEB,NOT_RESONANT,46.526,4,0,,,,,,,
29462,SL-12 DEB,RESONANT,65.311,145,1,2455354.5692,2010-06-07,2456203.5000,2012-10-03,848.9,14.9,0.9891
29473,SL-12 DEB,NOT_RESONANT,65.596,94,0,,,,,,,
31801,CZ-3B R/B,TOO_FEW_TLES,,1,,,,,,,,
32259,ATLAS 5 CENTAUR R/B,NO_TLE_FILE,,,,,,,,,,
34201,SL-12 DEB,NOT_RESONANT,47.254,165,0,,,,,,,
39461,FALCON 9 R/B,NOT_RESONANT,18.555,60,0,,,,,,,
39501,FALCON 9 R/B,RESONANT,20.646,76,1,2456806.0980,2014-05-28,2456805.5000,2014-05-28,-0.6,0.0,1.0000
40006,DELTA 4 DEB,TOO_FEW_TLES,,1,,,,,,,,
68539,TACHELES,TOO_FEW_TLES,,1,,,,,,,,
68541,K-RADCUBE,TOO_FEW_TLES,,1,,,,,,,,
