object,zone,it,tobs,apobs,e1,e2,e3,bn1,bn2,bn3,rms_baseline,s11,s21,s31,s12,s22,s32,s13,s23,s33
42928                         , 2, 10,    3.4364,   5579.2493,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5337.7575,     5525.6439,     5717.4067,     5365.1756,     5553.0848,     5744.8788,     5377.6681,     5565.5886,     5757.3977,
42928                         , 2, 11,    3.6357,   5578.0955,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5333.5252,     5521.4095,     5713.1690,     5362.5226,     5550.4299,     5742.2213,     5375.7340,     5563.6529,     5755.4598,
42928                         , 2, 12,    3.8478,   5576.5450,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5329.0240,     5516.9063,     5708.6625,     5359.7014,     5547.6070,     5739.3958,     5373.6776,     5561.5949,     5753.3996,
42928                         , 2, 13,    4.7718,   5569.8653,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5309.4564,     5497.3334,     5689.0787,     5347.4444,     5535.3444,     5727.1240,     5364.7472,     5552.6593,     5744.4563,
42928                         , 2, 14,    5.0178,   5567.0655,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5304.2568,     5492.1333,     5683.8766,     5344.1895,     5532.0884,     5723.8663,     5362.3769,     5550.2880,     5742.0834,
42928                         , 2, 15,    5.6849,   5560.6670,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5290.1691,     5478.0455,     5669.7846,     5335.3749,     5523.2722,     5715.0459,     5355.9606,     5543.8699,     5735.6616,
42928                         , 2, 16,    5.7978,   5559.5709,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5287.7867,     5475.6633,     5667.4018,     5333.8850,     5521.7821,     5713.5552,     5354.8764,     5542.7854,     5734.5767,
42928                         , 2, 17,    6.0373,   5557.2907,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5282.7348,     5470.6119,     5662.3495,     5330.7260,     5518.6229,     5710.3949,     5352.5781,     5540.4868,     5732.2771,
42928                         , 2, 18,    6.5999,   5551.3448,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5270.8688,     5458.7479,     5650.4840,     5323.3096,     5511.2064,     5702.9762,     5347.1844,     5535.0926,     5726.8809,
42928                         , 2, 19,    6.8206,   5549.6460,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5266.2124,     5454.0924,     5645.8282,     5320.4005,     5508.2974,     5700.0664,     5345.0695,     5532.9775,     5724.7652,
42928                         , 2, 20,    7.5188,   5542.8748,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5251.4823,     5439.3660,     5631.1009,     5311.2021,     5499.0995,     5690.8666,     5338.3846,     5526.2927,     5718.0785,
42928                         , 2, 21,    7.7309,   5540.9437,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5247.0044,     5434.8893,     5626.6240,     5308.4070,     5496.3047,     5688.0712,     5336.3539,     5524.2621,     5716.0475,
42928                         , 2, 22,    8.5385,   5535.5197,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5229.9364,     5417.8258,     5609.5598,     5297.7574,     5485.6559,     5677.4202,     5328.6195,     5516.5279,     5708.3114,
