1 03145U 68014B   07099.75000000 +.00000010 +00000-0 +00000-0 0  9990
2 03145 051.4806 127.1485 5824757 051.0324 353.0912 00.38773379052298
1 03145U 68014B   07102.41666667 +.00000078 +00000-0 +00000-0 0  9999
2 03145 051.5071 127.1423 5836560 051.0314 005.4057 00.38777526052307
1 03145U 68014B   07104.95833333 +.00000178 +00000-0 +00000-0 0  9997
2 03145 051.4863 127.1036 5850446 051.1426 000.0475 00.38785486052319
1 03145U 68014B   07107.54166667 +.00000145 +00000-0 +00000-0 0  9998
2 03145 051.4501 127.0255 5855024 051.2316 000.6664 00.38779814052321
1 03145U 68014B   07110.12500000 -.00000016 +00000-0 +00000-0 0  9997
2 03145 051.4698 127.0130 5862197 051.2518 001.3259 00.38780426052333
1 03145U 68014B   07115.25000000 +.00000053 +00000-0 +00000-0 0  9991
2 03145 051.4547 126.9678 5877863 051.3388 356.6979 00.38776143052351
1 03145U 68014B   07117.79166667 +.00000199 +00000-0 +00000-0 0  9995
2 03145 051.4532 126.9508 5881586 051.3639 351.5322 00.38776973052361
1 03145U 68014B   07120.37500000 +.00000269 +00000-0 +00000-0 0  9994
2 03145 051.4611 126.9373 5885566 051.4012 352.1467 00.38779911052370
1 03145U 68014B   07122.95833333 +.00000281 +00000-0 +00000-0 0  9992
2 03145 051.4591 126.9017 5889893 051.4583 352.7403 00.38780310052384
1 03145U 68014B   07125.58333333 +.00000260 +00000-0 +00000-0 0  9996
2 03145 051.4468 126.8469 5894598 051.4988 359.2077 00.38776793052394
1 03145U 68014B   07128.12500000 +.00000262 +00000-0 +00000-0 0  9998
2 03145 051.4514 126.8178 5902260 051.4966 354.1114 00.38774277052408
1 03145U 68014B   07130.70833333 +.00000340 +00000-0 +00000-0 0  9990
2 03145 051.4643 126.8177 5916240 051.5288 354.6992 00.38781797052416
1 03145U 68014B   07135.91666667 +.00000263 +00000-0 +00000-0 0  9996
2 03145 051.4088 126.6991 5930855 051.7016 001.6689 00.38780484052436
1 03145U 68014B   07141.04166667 +.00000089 +00000-0 +00000-0 0  9998
2 03145 051.4205 126.6601 5949095 051.7784 357.0553 00.38778814052457
1 03145U 68014B   07146.20833333 +.00000307 +00000-0 +00000-0 0  9995
2 03145 051.4238 126.6316 5958497 051.8396 358.3193 00.38778487052474
1 03145U 68014B   07148.75000000 +.00000318 +00000-0 +00000-0 0  9996
