run_idx,norad,lead_days,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,zepoch,rms_fit
  19, 59347, 180, 4, 0.819188,  28.442,       0.0000,     0.000, 2, 2460566.1970,       45.0436
  19, 59347, 180, 5, 0.818606,  26.976,       0.0000,     0.000, 2, 2460588.9092,       43.0225
  19, 59347, 180, 6, 0.817874,  30.202,       0.0000,     0.000, 2, 2460612.3436,       11.4290
  19, 59347, 180, 7, 0.816280, 151.197,       0.0000,     0.000, 2, 2460660.6975,        5.2708
  19, 59347, 180, 8, 0.818118,  27.009, 2461125.5600,   -35.568, 2, 2460991.6167,       95.2313
  20, 59347, 365, 1, 0.820428,  10.030,       0.0000,     0.000, 2, 2460400.5855,        9.0095
  20, 59347, 365, 2, 0.819928, 158.182,       0.0000,     0.000, 2, 2460427.7600,       10.1472
  20, 59347, 365, 3, 0.819643,  15.860,       0.0000,     0.000, 2, 2460523.8674,        8.8480
  20, 59347, 365, 4, 0.819616,  11.048,       0.0000,     0.000, 2, 2460545.0457,       28.8659
  20, 59347, 365, 5, 0.819285,  10.169,       0.0000,     0.000, 2, 2460566.1970,       31.3740
  20, 59347, 365, 6, 0.818636,   7.613,       0.0000,     0.000, 2, 2460588.9092,       35.7193
  20, 59347, 365, 7, 0.817879,   7.922,       0.0000,     0.000, 2, 2460612.3436,        8.8985
  20, 59347, 365, 8, 0.816281,  98.198,       0.0000,     0.000, 2, 2460660.6975,        5.3054
  21, 40943,  30, 1, 0.640494,  11.022,       0.0000,     0.000, 2, 2458043.0264,       41.6519
  21, 40943,  30, 2, 0.619134,  26.026,       0.0000,     0.000, 2, 2458516.7971,        8.4101
  21, 40943,  30, 3, 0.617397,  10.721,       0.0000,     0.000, 2, 2458578.3000,       15.3772
  21, 40943,  30, 4, 0.604850,  27.963,       0.0000,     0.000, 2, 2458679.2097,        9.5041
  21, 40943,  30, 5, 0.600174,  17.288,       0.0000,     0.000, 2, 2458699.4359,        5.2407
  21, 40943,  30, 6, 0.553400,  15.783, 2458997.6877,    82.492, 2, 2458780.4732,       34.6196
  21, 40943,  30, 7, 0.524082,  28.384, 2459048.5107,   151.174, 2, 2458800.9310,       25.1850
  21, 40943,  30, 8, 0.369962,  40.530, 2458947.8104,   127.741, 0, 2458861.6809,       19.3700
