day,apogee_alt_km,sma_km,ecc
   30.5997,   6153.7781,   9535.1794,  0.314282
   30.7069,   6153.3566,   9534.9754,  0.314266
   30.8142,   6152.9347,   9534.7715,  0.314250
   30.9214,   6152.5127,   9534.5678,  0.314234
   31.0286,   6152.0904,   9534.3643,  0.314217
   31.1359,   6151.6679,   9534.1609,  0.314201
   31.2431,   6151.2454,   9533.9578,  0.314185
   31.3503,   6150.8227,   9533.7548,  0.314168
   31.4576,   6150.4000,   9533.5520,  0.314152
   31.5648,   6149.9773,   9533.3494,  0.314136
   31.6720,   6149.5546,   9533.1470,  0.314119
   31.7792,   6149.1321,   9532.9449,  0.314103
   31.8864,   6148.7097,   9532.7429,  0.314086
   31.9936,   6148.2875,   9532.5412,  0.314070
   32.1008,   6147.8655,   9532.3397,  0.314053
   32.2080,   6147.4437,   9532.1383,  0.314037
   32.3152,   6147.0223,   9531.9372,  0.314020
   32.4224,   6146.6012,   9531.7363,  0.314004
   32.5296,   6146.1805,   9531.5356,  0.313987
   32.6368,   6145.7603,   9531.3351,  0.313971
   32.7440,   6145.3406,   9531.1349,  0.313954
   32.8511,   6144.9214,   9530.9348,  0.313938
   32.9583,   6144.5028,   9530.7349,  0.313922
   33.0655,   6144.0848,   9530.5353,  0.313905
   33.1727,   6143.6675,   9530.3358,  0.313889
   33.2798,   6143.2509,   9530.1366,  0.313873
   33.3870,   6142.8350,   9529.9375,  0.313857
   33.4942,   6142.4199,   9529.7386,  0.313840
   33.6013,   6142.0056,   9529.5400,  0.313824
   33.7085,   6141.5921,   9529.3415,  0.313808
   33.8156,   6141.1795,   9529.1431,  0.313792
   33.9228,   6140.7678,   9528.9450,  0.313777
   34.0299,   6140.3570,   9528.7470,  0.313761
   34.1370,   6139.9471,   9528.5491,  0.313745
   34.2442,   6139.5382,   9528.3514,  0.313729
   34.3513,   6139.1302,   9528.1539,  0.313714
   34.4584,   6138.7232,   9527.9565,  0.313698
   34.5656,   6138.3172,   9527.7592,  0.313683
   34.6727,   6137.9121,   9527.5620,  0.313667
   34.7798,   6137.5080,   9527.3650,  0.313652
   34.8869,   6137.1049,   9527.1680,  0.313637
   34.9940,   6136.7027,   9526.9712,  0.313622
   35.1011,   6136.3016,   9526.7744,  0.313607
   35.2083,   6135.9013,   9526.5777,  0.313592
   35.3154,   6135.5020,   9526.3811,  0.313577
   35.4225,   6135.1036,   9526.1845,  0.313563
   35.5295,   6134.7061,   9525.9880,  0.313548
   35.6366,   6134.3095,   9525.7915,  0.313533
   35.7437,   6133.9138,   9525.5951,  0.313519
   35.8508,   6133.5188,   9525.3987,  0.313505
   35.9579,   6133.1247,   9525.2023,  0.313490
   36.0650,   6132.7313,   9525.0059,  0.313476
   36.1721,   6132.3386,   9524.8095,  0.313462
   36.2791,   6131.9467,   9524.6131,  0.313448
   36.3862,   6131.5553,   9524.4167,  0.313434
   36.4933,   6131.1647,   9524.2203,  0.313420
   36.6003,   6130.7745,   9524.0239,  0.313406
   36.7074,   6130.3850,   9523.8274,  0.313392
   36.8144,   6129.9959,   9523.6309,  0.313379
   36.9215,   6129.6073,   9523.4343,  0.313365
   37.0285,   6129.2191,   9523.2377,  0.313351
   37.1356,   6128.8312,   9523.0411,  0.313338
   37.2426,   6128.4437,   9522.8443,  0.313324
   37.3497,   6128.0565,   9522.6476,  0.313310
   37.4567,   6127.6695,   9522.4507,  0.313297
   37.5637,   6127.2827,   9522.2538,  0.313284
   37.6708,   6126.8961,   9522.0568,  0.313270
   37.7778,   6126.5096,   9521.8597,  0.313257
   37.8848,   6126.1231,   9521.6626,  0.313243
   37.9918,   6125.7367,   9521.4653,  0.313230
   38.0989,   6125.3502,   9521.2680,  0.313217
   38.2059,   6124.9637,   9521.0706,  0.313203
   38.3129,   6124.5771,   9520.8731,  0.313190
   38.4199,   6124.1904,   9520.6755,  0.313176
   38.5269,   6123.8035,   9520.4779,  0.313163
   38.6339,   6123.4165,   9520.2801,  0.313150
   38.7409,   6123.0291,   9520.0823,  0.313136
   38.8479,   6122.6415,   9519.8844,  0.313123
   38.9549,   6122.2537,   9519.6864,  0.313109
   39.0619,   6121.8654,   9519.4884,  0.313096
   39.1688,   6121.4769,   9519.2902,  0.313082
   39.2758,   6121.0879,   9519.0920,  0.313069
   39.3828,   6120.6986,   9518.8937,  0.313055
   39.4898,   6120.3088,   9518.6953,  0.313042
   39.5967,   6119.9186,   9518.4969,  0.313028
   39.7037,   6119.5279,   9518.2984,  0.313015
   39.8107,   6119.1367,   9518.0999,  0.313001
   39.9176,   6118.7450,   9517.9013,  0.312987
   40.0246,   6118.3528,   9517.7026,  0.312973
   40.1315,   6117.9601,   9517.5039,  0.312959
   40.2385,   6117.5668,   9517.3052,  0.312946
   40.3454,   6117.1730,   9517.1064,  0.312932
   40.4524,   6116.7786,   9516.9076,  0.312918
   40.5593,   6116.3837,   9516.7088,  0.312903
   40.6662,   6115.9882,   9516.5099,  0.312889
   40.7732,   6115.5921,   9516.3111,  0.312875
   40.8801,   6115.1955,   9516.1122,  0.312861
   40.9870,   6114.7983,   9515.9133,  0.312847
   41.0940,   6114.4006,   9515.7145,  0.312832
   41.2009,   6114.0023,   9515.5156,  0.312818
   41.3078,   6113.6035,   9515.3168,  0.312803
   41.4147,   6113.2041,   9515.1179,  0.312789
